chapter,word,word_num,tot_words,ch_num,value,sum_sent,wds_norm,sum_length_adj,sum_norm,ch_name
Span notes 1 aardborg.txt,fails,2213,4500,1,-2,-17.447478143913923,0.4955217196596507,-0.003906734918028196,-0.11522936629334679,Aardborg
Span notes 1 aardborg.txt,nervous,2291,4500,1,-2,-19.447478143913923,0.512987012987013,-0.0043545629520631264,-0.12843807936269558,Aardborg
Span notes 1 aardborg.txt,safety,2294,4500,1,1.5223940820443846,-17.925084061869537,0.5136587550380654,-0.004013677577668951,-0.1183836460585961,Aardborg
Span notes 1 aardborg.txt,fails,2310,4500,1,-2,-19.925084061869537,0.5172413793103449,-0.004461505611703882,-0.13159235912794492,Aardborg
Span notes 1 aardborg.txt,grants,2347,4500,1,1.5223940820443846,-18.402689979825155,0.525526197939991,-0.004120620237309708,-0.12153792582384546,Aardborg
Span notes 1 aardborg.txt,wealth,2348,4500,1,4.567182246133154,-13.835507733692,0.5257501119570085,-0.003097964114127183,-0.09137462591154702,Aardborg
Span notes 1 aardborg.txt,luck,2350,4500,1,4.567182246133154,-9.268325487558846,0.5261979399910435,-0.0020753079909446586,-0.061211325999248604,Aardborg
Span notes 1 aardborg.txt,isolated,2431,4500,1,-1,-10.268325487558846,0.5443349753694581,-0.002299222007962124,-0.06781568253392302,Aardborg
Span notes 1 aardborg.txt,disappears,2467,4500,1,-1,-11.268325487558846,0.5523958799820868,-0.002523136024979589,-0.07442003906859741,Aardborg
Span notes 1 aardborg.txt,avoid,2534,4500,1,-1,-12.268325487558846,0.567398119122257,-0.0027470500419970547,-0.08102439560327182,Aardborg
Span notes 1 aardborg.txt,alert,2547,4500,1,-1,-13.268325487558846,0.5703090013434841,-0.00297096405901452,-0.08762875213794623,Aardborg
Span notes 1 aardborg.txt,screaming,2576,4500,1,-2,-15.268325487558846,0.5768025078369906,-0.0034187920930494504,-0.10083746520729504,Aardborg
Span notes 1 aardborg.txt,safe,2591,4500,1,1.5223940820443846,-13.745931405514462,0.5801612180922526,-0.003077906718655276,-0.09078303190319557,Aardborg
