chapter,char,sentiment,sum_sent,words,ch_num,ch_name
SPAN notes 13 Beneath Thronehold.txt,dane,surprise,2,100,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,dane,trust,5,100,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,evertonette,anger,4,129,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,evertonette,anticipation,3,129,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,evertonette,disgust,2,129,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,evertonette,fear,6,129,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,evertonette,joy,2,129,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,evertonette,sadness,2,129,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,evertonette,surprise,2,129,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,evertonette,trust,3,129,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,rook,anger,7,144,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,rook,anticipation,5,144,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,rook,disgust,1,144,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,rook,fear,5,144,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,rook,joy,6,144,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,rook,sadness,3,144,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,rook,surprise,4,144,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,rook,trust,8,144,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,xotl,anger,3,116,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,xotl,anticipation,3,116,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,xotl,fear,4,116,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,xotl,joy,3,116,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,xotl,sadness,4,116,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,xotl,surprise,3,116,13,Beneath Thronehold
SPAN notes 13 Beneath Thronehold.txt,xotl,trust,2,116,13,Beneath Thronehold
SPAN notes 14 - The Obstabatory.txt,LT-031,anger,92,4958,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,LT-031,anticipation,104,4958,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,LT-031,disgust,53,4958,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,LT-031,fear,105,4958,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,LT-031,joy,48,4958,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,LT-031,sadness,78,4958,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,LT-031,surprise,42,4958,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,LT-031,trust,97,4958,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,artien,anger,12,220,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,artien,anticipation,11,220,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,artien,disgust,4,220,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,artien,fear,13,220,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,artien,joy,6,220,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,artien,sadness,7,220,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,artien,surprise,5,220,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,artien,trust,8,220,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,chibo,anger,18,569,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,chibo,anticipation,17,569,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,chibo,disgust,11,569,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,chibo,fear,20,569,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,chibo,joy,6,569,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,chibo,sadness,16,569,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,chibo,surprise,5,569,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,chibo,trust,20,569,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,dane,anger,16,434,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,dane,anticipation,17,434,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,dane,disgust,13,434,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,dane,fear,17,434,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,dane,joy,11,434,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,dane,sadness,16,434,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,dane,surprise,6,434,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,dane,trust,20,434,14,The Obstabatory
SPAN notes 14 - The Obstabatory.txt,evertonette,anticipation,2,33,14,The Obstabatory
